Bin	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X
Bin2500000	0.989361702128;1.0	0	0	0.558823529412;0.602941176471	0	1.0;1.0	0.542857142857;0.56862745098	0	0.507936507937;0.355769230769	0	0.390909090909;0.546391752577	0.421052631579;0.645161290323	0	0	0	0.374045801527;0.692307692308	0.333333333333;0.923076923077	0.518867924528;0.28	0.485714285714;0.277777777778	0.378787878788;0.367816091954	0	0	0.450819672131;0.47572815534
Bin2750000	0.6;0.41935483871	0	0	1.0;0.989795918367	0.52;0.477272727273	0.397849462366;0.411764705882	0.538461538462;0.477124183007	0.403846153846;0.78	0.652173913043;0.541666666667	0	0.55737704918;0.324324324324	1.0;1.0	0	0	0	0.371428571429;0.28813559322	1.0;1.0	1.0;1.0	0.272727272727;0.275362318841	1.0;1.0	0	0	0.552631578947;0.573770491803
Bin3000000	0	1.0;1.0	1.0;1.0	0.736842105263;0.843971631206	0	0.888888888889;0.923076923077	0	1.0;1.0	1.0;1.0	0.702127659574;0.630434782609	0.416666666667;0.643564356436	0.45;0.310344827586	0	0	0	0.352941176471;0.718309859155	1.0;1.0	1.0;1.0	0.571428571429;0.366071428571	0.395061728395;0.340425531915	0	0	1.0;1.0
Bin3250000	1.0;1.0	0.534591194969;0.631147540984	0	0.388888888889;0.354838709677	0	1.0;1.0	0	0.651515151515;0.302325581395	0	0	0.464285714286;0.611940298507	1.0;1.0	0	0	0	0.43795620438;0.6	1.0;1.0	1.0;1.0	0.485714285714;0.436363636364	1.0;1.0	0	0	0
Bin3500000	0.480769230769;0.627906976744	0.858267716535;0.892561983471	0	0.404255319149;0.53125	0	0.98;1.0	0	0.487394957983;0.201754385965	0	0	0.361111111111;0.375	0.981481481481;1.0	0	0	0	1.0;1.0	0.463768115942;0.87037037037	1.0;1.0	1.0;1.0	0.636942675159;0.583333333333	0	0	1.0;1.0
Bin3750000	0.540229885057;0.573033707865	0.399082568807;0.445283018868	1.0;1.0	0.496855345912;0.507042253521	0	0.371134020619;0.478260869565	0	0	0.985507246377;1.0	0.504504504505;0.39175257732	0.494252873563;0.352112676056	0.436781609195;0.623655913978	0	0	0	0.563106796117;0.25	1.0;0.983050847458	0	0.58064516129;0.4	1.0;0.989130434783	0	0	0
Bin4000000	0	0	1.0;1.0	0.558375634518;0.40350877193	0	0.733333333333;0.325	0.573529411765;0.604938271605	0	0	0	0.987261146497;1.0	0	0	0	0	1.0;1.0	0.976470588235;1.0	0	0.487179487179;0.6	1.0;1.0	0	0	0
Bin4250000	0.5;0.5625	0	0.520833333333;0.340425531915	0.422077922078;0.459016393443	0	0	0.44;0.563025210084	0	0.522727272727;0.285714285714	0	0.611111111111;0.576923076923	0.549295774648;0.589743589744	0	0	0	0.515151515152;0.238095238095	1.0;1.0	0	0.303571428571;0.451612903226	0	0	0	0
Bin4500000	0	0.479166666667;0.462365591398	1.0;1.0	0	0	0.5625;0.573033707865	0	1.0;1.0	1.0;1.0	0.345679012346;0.563636363636	1.0;1.0	0.979166666667;1.0	0	0	0	0.5;0.673913043478	0.543209876543;0.916666666667	0	0.365384615385;0.51724137931	1.0;1.0	0	0	0
Bin4750000	0.454901960784;0.57264957265	0	1.0;1.0	0.478260869565;0.557142857143	0	0.47619047619;0.469512195122	0.639534883721;0.544554455446	0	0.577464788732;0.441558441558	1.0;1.0	0.681818181818;0.6375	1.0;1.0	0	0	0	0.52380952381;0.62987012987	1.0;1.0	0	0.412587412587;0.558659217877	0.559322033898;0.607142857143	0	0	0
